"","adult","backdrop_path","budget","homepage","id","imdb_id","origin_country","original_language","original_title","overview","popularity","poster_path","release_date","revenue","runtime","status","tagline","title","video","vote_average","vote_count","llm_class_1","llm_class_2","llm_class_3","llm_class_4","llm_class_5","llm_sum","llm_class_final"
"1",FALSE,"/v8xVDqt8uCul3c3mgx4VpGCwxJC.jpg",2.5e+07,"",278,"tt0111161","US","en","The Shawshank Redemption","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",26.801,"/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg","1994-09-23",28341469,142,"Released","Fear can hold you prisoner. Hope can set you free.","The Shawshank Redemption",FALSE,8.711,29148,"0","0","0","0","0",0,0
"2",FALSE,"/jdHsptJbtalEuVhCV5i7kSC3g0x.jpg",6e+06,"http://www.thegodfather.com/",238,"tt0068646","US","en","The Godfather","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",22.4793,"/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","1972-03-14",245066411,175,"Released","An offer you can't refuse.","The Godfather",FALSE,8.686,22017,"0","0","0","0","0",0,0
"3",FALSE,"/kGzFbGhp99zva6oZODW5atUtnqi.jpg",1.3e+07,"",240,"tt0071562","US","en","The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",11.5772,"/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg","1974-12-20",102600000,202,"Released","The rise and fall of the Corleone empire.","The Godfather Part II",FALSE,8.6,13303,"0","0","0","0","0",0,0
"4",FALSE,"/zb6fM1CX41D9rF9hdgclu0peUmy.jpg",2.2e+07,"http://www.schindlerslist.com/",424,"tt0108052","US","en","Schindler's List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.",12.2608,"/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg","1993-12-15",321365567,195,"Released","Whoever saves one life, saves the world entire.","Schindler's List",FALSE,8.566,16831,"0","0","0","0","0",0,0
"5",FALSE,"/tj6iPnz18hGfr0LKqWmG6Cp3niO.jpg",397751,"",389,"tt0050083","US","en","12 Angry Men","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",8.5545,"/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg","1957-04-10",4360000,97,"Released","It explodes like 12 sticks of dynamite!","12 Angry Men",FALSE,8.548,9498,"0","0","0","0","0",0,0
"6",FALSE,"/ukfI9QkU1aIhOhKXYWE9n3z1mFR.jpg",1.9e+07,"https://gkids.com/films/spirited-away",129,"tt0245429","JP","ja","千と千尋の神隠し","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",16.7702,"/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","2001-07-20",274925095,125,"Released","","Spirited Away",FALSE,8.535,17604,"0","0","1","0","0",1,0
"7",FALSE,"/enNubozHn9pXi0ycTVYUWfpHZm.jpg",1.85e+08,"https://www.warnerbros.com/movies/dark-knight/",155,"tt0468569","US","en","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",42.6058,"/qJ2tW6WMUDux911r6m7haRef0WH.jpg","2008-07-16",1004558444,152,"Released","Welcome to a world without rules.","The Dark Knight",FALSE,8.524,34645,"0","0","0","0","0",0,0
"8",FALSE,"/zQDFHYNVVVp9OAYSixYAG1SyX1l.jpg",13200000,"",19404,"tt0112870","IN","hi","दिलवाले दुल्हनिया ले जायेंगे","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",8.5287,"/2CAL2433ZeIihfX1Hb2139CX0pW.jpg","1995-10-20",1e+08,190,"Released","Come… Fall In love, All Over Again…","Dilwale Dulhania Le Jayenge",FALSE,8.5,4518,"0","0","0","0","0",0,0
"9",FALSE,"/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg",6e+07,"http://thegreenmile.warnerbros.com/",497,"tt0120689","US","en","The Green Mile","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",12.4686,"/o0lO84GI7qrG6XFvtsPOSV7CTNa.jpg","1999-12-10",286801374,189,"Released","Paul Edgecomb didn't believe in miracles. Until the day he met one.","The Green Mile",FALSE,8.502,18507,"0","0","0","0","0",0,0
"10",FALSE,"/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg",9.4e+07,"http://www.lordoftherings.net",122,"tt0167260","US","en","The Lord of the Rings: The Return of the King","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",18.5252,"/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg","2003-12-17",1118888979,201,"Released","There can be no triumph without loss. No victory without suffering. No freedom without sacrifice.","The Lord of the Rings: The Return of the King",FALSE,8.49,25617,"0","0","0","0","0",0,0
"11",FALSE,"/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg",8e+06,"https://www.miramax.com/movie/pulp-fiction/",680,"tt0110912","US","en","Pulp Fiction","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",16.5319,"/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg","1994-09-10",213928762,154,"Released","From the creator of 'True Romance' & 'Reservoir Dogs'","Pulp Fiction",FALSE,8.5,29234,"1","1","1","1","1",5,1
"12",FALSE,"/67HggiWaP9ZLv5sPYmyRV37yAJM.jpg",5.5e+07,"https://www.paramountmovies.com/movies/forrest-gump",13,"tt0109830","US","en","Forrest Gump","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",59.586,"/saHP97rTPS5eLmrLQEcANmKrsFl.jpg","1994-06-23",677387716,142,"Released","The world will never be the same once you've seen it through the eyes of Forrest Gump.","Forrest Gump",FALSE,8.464,28801,"0","0","0","0","0",0,0
"13",FALSE,"/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg",1200000,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",429,"tt0060196","IT","it","Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",9.8395,"/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg","1966-12-22",38900000,161,"Released","For three men the Civil War wasn't hell. It was practice.","The Good, the Bad and the Ugly",FALSE,8.462,9229,"1","1","1","1","1",5,1
"14",FALSE,"/sw7mordbZxgITU877yTpZCud90M.jpg",2.5e+07,"http://www.warnerbros.com/goodfellas",769,"tt0099685","US","en","GoodFellas","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",12.4244,"/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg","1990-09-12",47072327,145,"Released","Three decades of life in the mafia.","GoodFellas",FALSE,8.454,13747,"0","0","0","0","0",0,0
"15",FALSE,"/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg",2e+06,"",346,"tt0047478","JP","ja","七人の侍","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",7.6858,"/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg","1954-04-26",1.05e+08,207,"Released","Unmatched for suspense and spectacle!","Seven Samurai",FALSE,8.451,4016,"1","0","0","0","1",2,0
"16",FALSE,"/dlC0ed9Ugh3FzydnkBtV5lRXUu4.jpg",3700000,"https://gkids.com/films/grave-of-the-fireflies",12477,"tt0095327","JP","ja","火垂るの墓","In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.0105,"/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg","1988-04-16",842132,89,"Released","Why do fireflies have to die so soon?","Grave of the Fireflies",FALSE,8.446,6174,"1","0","0","0","0",1,0
"17",FALSE,"/6aNKD81RHR1DqUUa8kOZ1TBY1Lp.jpg",2e+07,"",637,"tt0118799","IT","it","La vita è bella","A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.",8.4851,"/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg","1997-12-20",230098753,116,"Released","Bongiorno Principessa!","Life Is Beautiful",FALSE,8.44,13610,"0","0","0","0","0",0,0
"18",FALSE,"/5TiwfWEaPSwD20uwXjCTUqpQX70.jpg",6.3e+07,"http://www.foxmovies.com/movies/fight-club",550,"tt0137523","US","en","Fight Club","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",17.0565,"/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg","1999-10-15",100853753,139,"Released","Mischief. Mayhem. Soap.","Fight Club",FALSE,8.438,30944,"1","1","1","1","1",5,1
"19",FALSE,"/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg",5e+06,"",11216,"tt0095765","IT","it","Nuovo Cinema Paradiso","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",4.8577,"/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg","1988-11-17",12462062,124,"Released","An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.","Cinema Paradiso",FALSE,8.431,4644,"0","0","0","0","0",0,0
